2	1	GGK QA Hospital Uppal	Road 7, Cross 8, Nankramguda, Financial District	http://demohospital.com	9876024365	9876124365	supportmail@demohospital.com	98701290	SKH1	2016-03-24	2018-05-01 17:42:33.257343
6	5	99	99	www.99.com	99	99	99@99.com	99	99	2016-03-04	2018-05-01 17:42:33.391318
10	11	SunRise	Gachibowli	www.sunrise.com	8456454654	8486546545	sunrise@gmail.com	\N	88888	2016-04-14	2018-05-01 17:42:33.461346
14	15	DDD	A	www.carehospital.com	8586445646	8585452454	aaa@gmail.com	5645454545	45454	2016-04-18	2018-05-01 17:42:33.547815
18	19	fsdfsdf	dasdas	www.h.com	222	222	h@gmail.com	444	333	2016-05-16	2018-05-01 17:42:33.617475
1	-1	System Hospital	System	www.ggktech.com	123123	123123	123@ggktech.com	123213	Systm	2018-01-10	2018-05-01 17:42:33.202664
5	4	Group 2 Hospital 2	madhapur	www.image.com	0987654321	9876543234	mail@image.com	1245451245	Img	2016-03-04	2018-05-01 17:42:33.370973
9	10	Yashoda hospital	Ameerpet	www.yashodahospital.com	8565665525	8454545456	yashodahospital@gmail.com	\N	12543	2016-04-14	2018-05-01 17:42:33.443945
13	14	Raja Hospital	Ameerpet	www.rajahospital.com	8545464464	5855456464	raja@gmail.com	1111111111	12	2016-04-15	2018-05-01 17:42:33.520897
17	18	ere	ere	www.carehospital.com	5656565656	5656565656	sdsd@gmail.com	2323232323	23232	2016-04-28	2018-05-01 17:42:33.601487
4	3	Group 2 Hospital 1	test	www.test.com	0912931209	9304812304	mail@test.com	123421312	SK1	2016-02-26	2018-05-01 17:42:33.339119
8	9	Care Hospital	Jubilee hills	www.carehospital.com	8655654645	8545465465	care@gmail.com	\N	12345	2016-04-14	2018-05-01 17:42:33.427417
12	13	Himagiri	Indranagar	www.himagiri.com	8656566565	8656565656	himagiri@gmail.com	8565666556	11111	2016-04-15	2018-05-01 17:42:33.503842
16	17	gfd	gf	www.f	41	1	g@j	6	4	2016-05-04	2018-05-01 17:42:33.585468
20	21	GGK QA FINANCIAL DIST.	FINANCIAL DISTRICT	WWW.FINANCIAL.COM	9636996336	9636996336	GGKHOSPITAL@GMAIL.COM	1236547	5	2017-11-07	2018-05-01 17:42:33.652847
3	2	Apollo	Begumpet	www.mamata.com	9712512533	8954412452	mail@mamata.com	245125646	MB	2016-04-18	2018-05-01 17:42:33.308729
7	8	appolopo	sdsdsd	www.hdfdf.com	8525456465	5854545445	haha@gmail.com	545	544	2016-04-14	2018-05-01 17:42:33.409029
11	12	KIMS Hospital	Kondapur	www.kims.com	8454564564	8454644564	kims@gmail.com	4444444444	55555	2016-04-14	2018-05-01 17:42:33.479704
15	16	999	99	www.carehospital.com	8866564646	7877878787	sd@gmail.com	8575758454	85885	2016-04-18	2018-05-01 17:42:33.567413
19	20	GGK QA Hospital Waverock	Road 7, Cross 8, Nankramguda, Financial District 2	http://demohospital	\N	\N	\N	\N	\N	2016-09-20	2018-05-01 17:42:33.636357
