1	\N	2	\N	8	\N	20160616	10450	1500	2000	800	0	100	100	20	20	870	1320	750	800	\N	\N	\N	\N	2016-06-16	2018-05-01 17:45:32.305981
5	\N	2	\N	36	\N	20160616	17655	1500	2000	0	0	100	100	20	20	1620	2120	0	0	\N	\N	\N	\N	2016-06-16	2018-05-01 17:45:32.432844
9	\N	2	\N	37	\N	20160621	2400	2400	0	0	0	0	0	0	0	1293	0	1107	0	\N	\N	\N	\N	2016-06-21	2018-05-01 17:45:32.509814
13	\N	2	\N	40	\N	20160621	400	400	0	0	0	0	0	0	0	274	0	126	0	\N	\N	\N	\N	2016-06-21	2018-05-01 17:45:32.612055
17	\N	2	\N	36	\N	20160622	17655	17655	0	0	0	0	0	0	0	7042	0	10613	0	\N	\N	\N	\N	2016-06-22	2018-05-01 17:45:32.690145
21	\N	2	\N	4770	\N	20160623	1500	1500	0	0	0	0	0	0	0	1500	0	0	0	\N	\N	\N	\N	2016-06-23	2018-05-01 17:45:32.762967
25	\N	2	\N	5	\N	20160623	26565	26565	0	0	0	0	0	0	0	26565	0	0	0	\N	\N	\N	\N	2016-06-23	2018-05-01 17:45:32.840948
29	\N	2	\N	71	\N	20160623	100000	100000	0	0	0	0	0	0	0	70000	0	30000	0	\N	\N	\N	\N	2016-06-23	2018-05-01 17:45:32.914388
33	\N	2	\N	4770	\N	20160623	1500	1500	0	0	0	0	0	0	0	1500	0	0	0	\N	\N	\N	\N	2016-06-23	2018-05-01 17:45:32.987207
37	\N	2	\N	6	\N	20160628	6820	13640	0	0	0	0	0	0	0	13640	0	0	0	\N	\N	\N	\N	2016-06-28	2018-05-01 17:45:33.058975
41	\N	2	\N	45	\N	20160629	6400	6400	0	0	0	0	0	0	0	673.71	0	5726.29	0	\N	\N	\N	\N	2016-06-29	2018-05-01 17:45:33.12911
45	\N	2	\N	45	\N	20160629	6400	6400	0	0	0	0	0	0	0	673.71	0	5726.29	0	\N	\N	\N	\N	2016-06-29	2018-05-01 17:45:33.200017
49	\N	2	\N	1	\N	20160630	6900	6900	0	0	0	0	0	0	0	6900	0	0	0	\N	\N	\N	\N	2016-06-30	2018-05-01 17:45:33.277175
