3	3	VISIT CHARGES SUBSEQUENT DAYS-AKD	N	13	S		www	3	U	F	Y	Y	VISI_3	H	N	N	2018-03-19	2018-05-01 17:42:33.369582
7	7	ET CO2 MEASUREMENT	N	13	M	\N	dfdf	6	U	F	Y	N	ET C_7	H	N	N	2018-02-05	2018-05-01 17:42:33.46293
11	11	PAIN MANAGEMENT REFILLING	N	13	M			6	U		Y	Y	PAIN_11	H	N	N	2016-02-05	2018-05-01 17:42:33.553587
15	15	PAIN MANAGEMENT THEATRE CHRG(45MIN)	N	13	S			6	U		N	Y	PAIN_15	H	N	N	2016-02-05	2018-05-01 17:42:33.645405
19	19	PAIN MGMT ADAPT 1 SESSION/DAY IP	N	13	M			6	U		Y	Y	PAIN_19	H	N	N	2016-02-05	2018-05-01 17:42:33.73181
23	23	PAIN MGMT F/U CONSULT OP	N	13	M			6	U		N	Y	PAIN_23	H	N	Y	2016-02-05	2018-05-01 17:42:33.812481
27	27	PAIN MGMT MULTILEVEL BIL BLOCK U/II IV SEDATION	N	13	S			6	U		N	Y	PAIN_27	H	N	N	2016-02-05	2018-05-01 17:42:33.892805
31	31	PAIN MGMT STRETCH SPRAY THERAPY IP	N	13	S			6	U		N	Y	PAIN_31	H	N	N	2016-02-05	2018-05-01 17:42:33.976535
35	35	PAIN MGMT TRIGGER POINT INJ C/L OP	N	13	S			6	U		N	Y	PAIN_35	H	N	N	2016-02-05	2018-05-01 17:42:34.051067
39	39	NHIF PROCESSING FEE	N	13	S			6	U		N	N	NHIF_39	H	N	N	2016-02-05	2018-05-01 17:42:34.137761
43	43	ARTERIAL LINE INSERTION	N	13	S			6	U		N	Y	ARTE_43	H	N	N	2016-02-05	2018-05-01 17:42:34.223502
47	47	CARDIOPULMONARY MONITORING	N	13	S			2	U		Y	Y	CARD_47	H	N	N	2016-02-05	2018-05-01 17:42:34.308084
51	51	ELECTROCARDIOGRAM	N	13	S			2	U		N	Y	ELEC_51	H	N	N	2016-02-05	2018-05-01 17:42:34.385467
55	55	EST (EXERCISE STRESS TEST)	Y	13	S			6	U		N	Y	EST _55	H	N	N	2016-02-05	2018-05-01 17:42:34.463567
59	59	PLEURAL BIOPSY	N	13	S			6	U		N	Y	PLEU_59	H	N	N	2016-02-05	2018-05-01 17:42:34.544018
63	63	VENTILATOR PER DAY	N	13	S			6	U		Y	N	VENT_63	H	N	N	2016-02-05	2018-05-01 17:42:34.630185
67	67	BAEP	N	13	M			6	U		Y	N	BAEP_67	H	N	N	2018-03-20	2018-05-01 17:42:34.717269
71	71	CATH DEVICE IMPLANTATION (ICD) PROFESSIONAL FEES	N	13	S			6	U		N	N	CATH_71	H	N	N	2016-02-05	2018-05-01 17:42:34.808836
